id_partner,marketplace,country_code,is_fbn,item_nr,sku,brand_en,title_en,purchase_item_nr,awb_nr,base_price,invoice_price,item_status,cancel_reason,ordered_date,shipped_date,delivered_date,cancelled_date,returned_date,estimated_shipping_date
76776,noon,AE,FBN,NAEG50016135844-3,Z7E617F1DE114B5D14182Z-1,"Dear,Klairs",Freshly Juiced Vitamin Drop 5% Pure Vtamin C Vitamin C Serum 35ml 1.18oz,NAEG50016135844-3-P1,,60,60,Delivered,,31-May-24,31-May-24,01-Jun-24,,,01-Jun-24
76776,noon,AE,FBN,NAEG50078715085-28,ZCF738B80BC0574161995Z-1,GINGER6,Hydrating Ginger Water Foam Cleanser Korean Cosmetics Facial Wash Skin Care Moisturizing First Launch in Japan Korean Cosmetics Korean Skin Care Popular Korean B,NAEG50078715085-28-P1,,39.9,39.9,Delivered,,07-May-24,07-May-24,08-May-24,,,08-May-24
76776,noon,AE,FBN,NAEG50078715085-27,ZCF738B80BC0574161995Z-1,GINGER6,Hydrating Ginger Water Foam Cleanser Korean Cosmetics Facial Wash Skin Care Moisturizing First Launch in Japan Korean Cosmetics Korean Skin Care Popular Korean B,NAEG50078715085-27-P1,,39.9,39.9,Delivered,,07-May-24,07-May-24,08-May-24,,,08-May-24
76776,noon,AE,FBN,NAEG50086469758-3,ZFA1EBC3F8B0477800BC8Z-1,I'M FROM,Mugwort Essence 5.4 Fl Oz  100% Vegan Mugwort Extract Soothe Sensitive and Irritated Skin Redness Relief Refreshing Korean Hydrating toner,NAEG50086469758-3-P1,,130,130,Delivered,,25-May-24,25-May-24,27-May-24,,,26-May-24
76776,noon,AE,FBN,NAEG50047271289-1,Z0B91D3519D4EF72EDF23Z-1,I'M FROM,Rice Toner 77.78% Rice Extract from Korea Glow Essence with Niacinamide Hydrating for Dry Skin Vegan Alcohol Free Fragrance Free Peta Approved K Beauty Toner 5.07 Fl Oz,NAEG50047271289-1-P1,,73,73,Delivered,,26-May-24,26-May-24,26-May-24,,,26-May-24
76776,noon,AE,FBN,NAEG50047271289-2,Z0B91D3519D4EF72EDF23Z-1,I'M FROM,Rice Toner 77.78% Rice Extract from Korea Glow Essence with Niacinamide Hydrating for Dry Skin Vegan Alcohol Free Fragrance Free Peta Approved K Beauty Toner 5.07 Fl Oz,NAEG50047271289-2-P1,,73,73,Delivered,,26-May-24,26-May-24,26-May-24,,,26-May-24
76776,noon,AE,FBN,NAEG50031974294-13,ZFA1EBC3F8B0477800BC8Z-1,I'M FROM,Mugwort Essence 5.4 Fl Oz  100% Vegan Mugwort Extract Soothe Sensitive and Irritated Skin Redness Relief Refreshing Korean Hydrating toner,NAEG50031974294-13-P1,,110,110,Delivered,,30-May-24,30-May-24,01-Jun-24,,,31-May-24
76776,noon,AE,FBN,NAEG40048137420-13,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG40048137420-13-P1,,45,39.29,Delivered,,01-May-24,01-May-24,01-May-24,,,01-May-24
76776,noon,AE,FBN,NAEG50026480829-2,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50026480829-2-P1,,55,,Cancelled,,01-May-24,,,01-May-24,,02-May-24
76776,noon,AE,FBN,NAEG40033121902-8,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG40033121902-8-P1,,55,55,Delivered,,01-May-24,01-May-24,02-May-24,,,01-May-24
76776,noon,AE,FBN,NAEG50015144921-5,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50015144921-5-P1,,57,57,Delivered,,02-May-24,02-May-24,03-May-24,,,03-May-24
76776,noon,AE,FBN,NAEG50052611321-2,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50052611321-2-P1,,45,45,Delivered,,02-May-24,02-May-24,03-May-24,,,03-May-24
76776,noon,AE,FBN,NAEG50087741039-2,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50087741039-2-P1,,45,45,Delivered,,02-May-24,03-May-24,04-May-24,,,04-May-24
76776,noon,AE,FBN,NAEG50052611321-3,Z4CF81A5EDD4B705CFBCBZ-1,iUNIK,"Propolis 70% Vitamins 17% Synergy Serum, Centella Fruits Extract Calming Soothing Deep Nourishing Dry Damaged Dull Spot Hyperpigmentation Sensitive Acne-prone Skin No Pore Clogging Korean Skinca",NAEG50052611321-3-P1,,50,50,Delivered,,02-May-24,02-May-24,03-May-24,,,03-May-24
76776,noon,AE,FBN,NAEG50080191511-1,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50080191511-1-P1,,55,55,Delivered,,02-May-24,02-May-24,03-May-24,,,03-May-24
76776,noon,AE,FBN,NAEG50053193543-3,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50053193543-3-P1,,55,55,Delivered,,02-May-24,03-May-24,04-May-24,,,03-May-24
76776,noon,AE,FBN,NAEG50014730760-1,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50014730760-1-P1,,45,45,Delivered,,04-May-24,04-May-24,05-May-24,,,05-May-24
76776,noon,AE,FBN,NAEG50010722254-4,Z4CF81A5EDD4B705CFBCBZ-1,iUNIK,"Propolis 70% Vitamins 17% Synergy Serum, Centella Fruits Extract Calming Soothing Deep Nourishing Dry Damaged Dull Spot Hyperpigmentation Sensitive Acne-prone Skin No Pore Clogging Korean Skinca",NAEG50010722254-4-P1,,50,50,Delivered,,04-May-24,04-May-24,06-May-24,,,05-May-24
76776,noon,AE,FBN,NAEG50039478543-8,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50039478543-8-P1,,66,66,Delivered,,05-May-24,05-May-24,06-May-24,,,06-May-24
76776,noon,AE,FBN,NAEG50039478543-5,Z9FC42C7B6196FDACA66BZ-1,iUNIK,Centella Bubble Foaming Vegan Facial Cleanser - Naturally-Derived Tea Tree Extracts Centella Asiatica Extract 69% Soothing Moisturizing Exfoliating Removes Pore Blackheads Whiteheads 5.07 Fl Oz,NAEG50039478543-5-P1,,44,44,Delivered,,05-May-24,05-May-24,06-May-24,,,06-May-24
76776,noon,AE,FBN,NAEG50066659443-3,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50066659443-3-P1,,45,45,Delivered,,06-May-24,06-May-24,07-May-24,,,06-May-24
76776,noon,AE,FBN,NAEG50047077016-28,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50047077016-28-P1,,66,66,Delivered,,06-May-24,07-May-24,08-May-24,,,08-May-24
76776,noon,AE,FBN,NAEG50032646514-8,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50032646514-8-P1,,66,66,Delivered,,06-May-24,06-May-24,07-May-24,,,06-May-24
